Path	Lines of Code
frontend/createClient.js	5
frontend/eslint.config.js	28
frontend/index.html	18
frontend/src/App.css	12
frontend/src/App.jsx	38
frontend/src/components/AuthContext/auth-context.jsx	9
frontend/src/components/AuthContext/authProvider.jsx	29
frontend/src/components/Containers/ErrorPage.jsx	13
frontend/src/components/Containers/Roots.jsx	13
frontend/src/components/CreateItem/CreateItem.css	77
frontend/src/components/CreateItem/CreateItem.jsx	80
frontend/src/components/EditIdeaPortal/EditIdeaPortal.jsx	10
frontend/src/components/Gallery/Gallery.css	14
frontend/src/components/Gallery/Gallery.jsx	37
frontend/src/components/GalleyItem/GalleryItem.css	154
frontend/src/components/GalleyItem/GalleryItem.jsx	173
frontend/src/components/Header/Header.css	64
frontend/src/components/Header/Header.jsx	31
frontend/src/components/Inscription.jsx	80
frontend/src/components/LanguageSelector/LanguageSelector.css	37
frontend/src/components/LanguageSelector/LanguageSelector.jsx	8
frontend/src/components/Login.jsx	76
frontend/src/components/Logout.jsx	23
frontend/src/components/ModificationProfile/ChangeBio/ChangeBio.css	62
frontend/src/components/ModificationProfile/ChangeBio/ChangeBio.jsx	45
frontend/src/components/ModificationProfile/ChangePassword/ChangePassword.css	52
frontend/src/components/ModificationProfile/ChangePassword/ChangePassword.jsx	87
frontend/src/components/ModificationProfile/ChangePhoto/ChangePhoto.css	33
frontend/src/components/ModificationProfile/ChangePhoto/ChangePhoto.jsx	89
frontend/src/components/ModificationProfile/ModificationProfile.css	39
frontend/src/components/ModificationProfile/ModificationProfile.jsx	54
frontend/src/components/ModificationProfile/SupprimeAccount/SupprimeAccount.css	75
frontend/src/components/ModificationProfile/SupprimeAccount/SupprimeAccount.jsx	89
frontend/src/components/SingleItem/SingleItem.css	294
frontend/src/components/SingleItem/SingleItem.jsx	186
frontend/src/components/UserButton/UserButton.css	66
frontend/src/components/UserButton/UserButton.jsx	82
frontend/src/components/UserOptionsPortal/UserOptionsPortal.jsx	6
frontend/src/components/userProfile.jsx	46
frontend/src/components/usersTest.js	24
frontend/src/index.css	12
frontend/src/main.jsx	15
frontend/src/styles/Inscription.css	44
frontend/src/styles/Login.css	44
frontend/src/styles/Logout.css	39
frontend/src/styles/UserProfile.css	56
frontend/vite.config.js	5
